Event.Id,Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Abbreviation,Sum_Total_Injuries,Safety_Score,US_State
20020909X01562,Accident,1982-01-01,"PULLMAN, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,WA,0.0,0.0,Washington
20020917X02574,Accident,1982-01-08,"PULLMAN, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,TU206G,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,WA,0.0,0.0,Washington
20020917X02575,Accident,1982-01-13,"SPOKANE, WA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-31-350,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,IMC,WA,0.0,0.0,Washington
20020917X02576,Accident,1982-01-15,"SPOKANE, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,WA,0.0,0.0,Washington
20020917X02624,Accident,1982-01-18,"ORCHARDS, WA",United States,Non-Fatal,Destroyed,Airplane,Beech,C23,1.0,Reciprocating,Business,0.0,2.0,2.0,0.0,VMC,WA,4.0,8.0,Washington
20020917X02580,Accident,1982-01-30,"SINCLAIR ISLAND, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,172P,1.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,IMC,WA,0.0,0.0,Washington
20020917X02581,Accident,1982-02-02,"MOSES LAKE, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,U206G,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,WA,0.0,0.0,Washington
20020917X02582,Accident,1982-02-03,"NR. COLBERT, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,150J,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,WA,0.0,0.0,Washington
20020917X02584,Accident,1982-02-07,"PROSSER, WA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-180,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,WA,0.0,0.0,Washington
20020917X02587,Accident,1982-02-28,"REDMOND, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,WA,0.0,0.0,Washington
20020917X02589,Accident,1982-03-07,"EVERETT, WA",United States,Non-Fatal,Destroyed,Airplane,Rockwell intl,114,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,WA,0.0,0.0,Washington
20020917X02592,Accident,1982-03-14,"RICHLAND, WA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-18-135,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,WA,1.0,1.0,Washington
20020917X02595,Accident,1982-03-20,"BLAINE, WA",United States,Non-Fatal,Substantial,Airplane,Luscombe,8E,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,WA,0.0,0.0,Washington
20020917X02598,Accident,1982-03-27,"HOQUIAM, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,150F,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,WA,1.0,1.0,Washington
20020917X02597,Accident,1982-03-29,"CAMAS, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,150H,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,WA,0.0,0.0,Washington
20020917X02600,Accident,1982-04-05,"EUREKA, WA",United States,Non-Fatal,Substantial,Airplane,Rockwell intl.,S-2R,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,WA,0.0,0.0,Washington
20020917X02603,Accident,1982-04-08,"SPOKANE, WA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-181,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,WA,0.0,0.0,Washington
20020917X02602,Accident,1982-04-08,"BASIN CITY, WA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-25-235,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,WA,0.0,0.0,Washington
20020917X02621,Accident,1982-04-11,"BREMERTON, WA",United States,Fatal,Destroyed,Airplane,Cessna,A152,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,WA,1.0,6.0,Washington
20020917X02629,Accident,1982-04-16,"RICHLAND, WA",United States,Non-Fatal,Substantial,Airplane,Beech,77,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,WA,1.0,3.0,Washington
20020917X02606,Accident,1982-04-17,"ESPANOLA, WA",United States,Non-Fatal,Substantial,Airplane,Weatherly,201C,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,WA,0.0,0.0,Washington
20020917X02615,Accident,1982-04-24,"GREENWATER, WA",United States,Fatal,Destroyed,Airplane,Beech,23,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,WA,1.0,6.0,Washington
20020917X02611,Accident,1982-04-24,"HARTLINE, WA",United States,Non-Fatal,Substantial,Airplane,Weatherly,201A,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC,WA,1.0,1.0,Washington
20020917X02612,Accident,1982-04-28,"CAMAS, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,150G,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,WA,0.0,0.0,Washington
20020917X04073,Accident,1982-05-02,"LISABUELLA, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,WA,0.0,0.0,Washington
20020917X04075,Accident,1982-05-06,"WALLA WALLA, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,182P,1.0,Reciprocating,Business,0.0,0.0,1.0,1.0,VMC,WA,1.0,1.0,Washington
20020917X04077,Accident,1982-05-09,"N.W. OF COPALIS, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,A185F,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,WA,0.0,0.0,Washington
20020917X04079,Accident,1982-05-12,"PORT ANGELES, WA",United States,Non-Fatal,Substantial,Airplane,Piper,PA 28-181,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,WA,0.0,0.0,Washington
20020917X04169,Accident,1982-05-14,"WALLA WALLA, WA",United States,Fatal,Destroyed,Airplane,Beechcraft,S35,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,WA,3.0,18.0,Washington
20020917X04084,Accident,1982-05-22,"ROCHE HARBOR, WA",United States,Non-Fatal,Substantial,Airplane,Bellanca,7ECA,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,WA,0.0,0.0,Washington
20020917X04083,Accident,1982-05-23,"LESTER, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,172G,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,WA,0.0,0.0,Washington
20020917X04125,Accident,1982-05-25,"CHELAN, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,150,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,WA,0.0,0.0,Washington
20020917X04151,Accident,1982-05-31,"SEQUIM BAY, WA",United States,Fatal,Destroyed,Airplane,Starduster,TOO SA300,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,WA,1.0,6.0,Washington
20020917X04088,Accident,1982-06-01,"SPRAGUE, WA",United States,Non-Fatal,Destroyed,Airplane,Eagle,DW-1,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,WA,0.0,0.0,Washington
20020917X04091,Accident,1982-06-08,"DAYTON, WA",United States,Non-Fatal,Destroyed,Airplane,Grumman,G-164A,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC,WA,1.0,1.0,Washington
20020917X04092,Accident,1982-06-11,"QUINCY, WA",United States,Non-Fatal,Substantial,Airplane,Beech,B19,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,WA,0.0,0.0,Washington
20020917X04097,Accident,1982-06-16,"ROCHE HARBOR, WA",United States,Non-Fatal,Destroyed,Airplane,Piper,PA-28-180,1.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,VMC,WA,0.0,0.0,Washington
20020917X04155,Accident,1982-06-23,"LOPEZ ISLAND, WA",United States,Non-Fatal,Destroyed,Airplane,Stinson,108-3,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,WA,2.0,6.0,Washington
20020917X04101,Accident,1982-06-23,"TOLEDO, WA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-180,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,WA,0.0,0.0,Washington
20020917X04106,Accident,1982-06-26,"OTHELLO, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,A188B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,WA,0.0,0.0,Washington
20020917X04107,Accident,1982-07-02,"MT. VERNON, WA",United States,Non-Fatal,Substantial,Airplane,Maule,M-5-235C,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,WA,0.0,0.0,Washington
20020917X04108,Accident,1982-07-08,"BELLINGHAM, WA",United States,Non-Fatal,Substantial,Airplane,Coot,AMPHIBIAN,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,WA,0.0,0.0,Washington
20020917X04111,Accident,1982-07-10,"CARLTON, WA",United States,Non-Fatal,Destroyed,Airplane,Beech,A23-19,1.0,Reciprocating,Unknown,0.0,0.0,3.0,0.0,VMC,WA,3.0,3.0,Washington
20020917X04110,Accident,1982-07-10,"SPOKANE, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,182Q,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,WA,0.0,0.0,Washington
20020917X04178,Accident,1982-07-17,"WENATCHEE, WA",United States,Fatal,Destroyed,Airplane,Cessna,172M,1.0,Reciprocating,Business,3.0,0.0,0.0,0.0,VMC,WA,3.0,18.0,Washington
20020917X04118,Accident,1982-07-17,"BATTLEGROUND, WA",United States,Non-Fatal,Substantial,Airplane,Mong,SPORT 1,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,WA,0.0,0.0,Washington
20020917X04070,Accident,1982-07-22,"MERCER ISLAND, WA",United States,Fatal,Destroyed,Airplane,Cessna,A152,1.0,Reciprocating,Personal,6.0,0.0,0.0,0.0,VMC,WA,6.0,36.0,Washington
20020917X04070,Accident,1982-07-22,"MERCER ISLAND, WA",United States,Fatal,Destroyed,Airplane,Cessna,172,1.0,Reciprocating,Personal,6.0,0.0,0.0,0.0,VMC,WA,6.0,36.0,Washington
20020917X04129,Accident,1982-07-24,"KENT, WA",United States,Non-Fatal,Destroyed,Airplane,Aeronca,7AC,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,WA,2.0,4.0,Washington
20020917X04130,Accident,1982-07-24,"SUNNYSIDE, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,175,1.0,Reciprocating,Personal,0.0,0.0,2.0,1.0,VMC,WA,2.0,2.0,Washington
20020917X04179,Accident,1982-07-25,"TIETON, WA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-22-150,1.0,Reciprocating,Personal,0.0,2.0,1.0,0.0,VMC,WA,3.0,7.0,Washington
20020917X04131,Accident,1982-07-29,"ROCHE HARBOR, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,WA,0.0,0.0,Washington
20020917X04133,Accident,1982-08-01,"FRIDAY HARBOR, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,A185F,1.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,1.0,VMC,WA,0.0,0.0,Washington
20020917X04071,Accident,1982-08-04,"SNOHOMISH, WA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-22-108,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,WA,0.0,0.0,Washington
20020917X04138,Accident,1982-08-08,"FORKS, WA",United States,Non-Fatal,Destroyed,Airplane,Cessna,150,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,IMC,WA,1.0,1.0,Washington
20020917X04160,Accident,1982-08-12,"SHELTON, WA",United States,Fatal,Destroyed,Airplane,Piper,PA32-300,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,WA,1.0,6.0,Washington
20020917X04141,Accident,1982-08-12,"OLYMPIA, WA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-161,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,WA,0.0,0.0,Washington
20020917X04150,Accident,1982-08-17,"BELLINGHAM, WA",United States,Non-Fatal,Substantial,Airplane,North american,AT-6C,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,WA,0.0,0.0,Washington
20020917X04145,Accident,1982-08-19,"TOLEDO, WA",United States,Non-Fatal,Substantial,Airplane,Auster,A.O.P.6,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,WA,0.0,0.0,Washington
